,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
12,1.8799925,-1.3811204,-0.24794406,1.9947364,1.0689915,2.3924162,-0.37857497,-1.0615122,-1.0734887,1.7469846,0.39897615,1.8396752,1.2949868,-0.39434344,-1.7291574,0.8383669,2.6489346,-0.56434965,-0.5031424,2.66618,-0.44476524,2.0140808,0.57268417,0.2892318,-1.3840531,1.7354155,-0.38187692,-0.3926823,0.55557275,0.9282286,-1.415192,-1.2776644
13,1.1153746,0.3189826,-0.7175335,-2.1918364,1.4656404,0.10937553,1.005249,-1.7518499,2.6769636,-0.6517281,0.64245087,1.0185252,1.2761338,1.647994,0.08464854,0.27533597,-0.83452374,1.4884256,-1.0096877,1.3411978,0.69941086,1.0977017,1.9256618,0.8190482,0.996234,0.29713702,-2.461157,1.9457096,-0.29413044,-0.5312259,1.0002017,-0.90489614
14,0.86232185,-0.05539794,2.5386367,2.8547094,-1.6180921,0.3931088,-1.4524424,1.3046689,-2.5637236,-2.8015563,1.6819023,1.6088256,2.237197,-2.423314,-1.831865,-2.7890942,0.77598995,-1.6058606,-0.40394557,1.6635115,-2.9645805,2.18548,2.1774595,1.5651795,-0.6195927,1.7822065,0.35238525,0.7221678,-0.57397896,-3.30426,-2.855157,-0.93924993
15,-0.86083835,-1.095766,0.3726856,2.175657,-1.293135,0.014211692,-0.8516339,1.2203575,-2.36267,0.34197637,0.4348669,0.512995,-0.09751976,-1.9293509,-1.4183184,-1.1077378,2.0209553,-0.53509825,1.416784,-0.3301674,-2.9761677,0.6583139,0.37598118,0.84652746,-1.7199727,0.22383316,0.94415253,-0.03990854,-0.48582834,-0.45158553,-2.624644,-0.9620823
16,2.1919186,0.18836461,-1.7435291,-0.024136662,2.080812,0.6383141,0.43983793,-0.60820705,0.59939,1.6748343,-0.73867995,1.2778883,0.801465,0.8409715,-0.29421228,1.6275134,0.74658746,0.57678723,1.5048721,1.0397204,0.15113997,1.3571448,1.6914809,2.0836375,-0.37826356,1.8238318,-1.3007194,1.2046044,-0.072955884,0.98347175,-0.8217037,-1.1072848
17,0.5990913,-0.6945234,-1.149645,-0.47929347,1.2132865,-0.4680129,0.6185119,0.4689505,1.1694481,-0.29553717,0.6427975,0.8259275,0.2987607,0.5188369,-0.05322856,-0.4827962,-0.201485,1.3274933,0.6018881,-0.12957235,-0.79042596,0.66214734,2.813843,1.9057517,0.5099939,0.37773553,-1.4409534,1.9491395,-0.8502189,-0.15107045,-0.93963623,-1.3076953
18,1.2806846,-0.07418076,-0.8353436,2.2399168,0.3902142,-0.04931674,-0.5497937,1.9037496,-2.0569026,0.6247919,-0.4334174,0.99866295,0.4153712,-0.86659247,-0.4106535,-0.53466034,0.8035705,-0.29851273,2.7112842,-0.7544574,-1.8706893,0.8001347,1.9975178,3.3167245,-0.9627864,2.1477826,0.10507906,0.84460986,-0.2714443,-0.13727981,-2.6516972,-1.0992639
19,2.7080312,0.28701127,-1.6234416,-0.38251302,2.4661784,1.5184089,0.40849534,-2.1313896,1.0027058,2.4111614,-1.1381071,1.396337,1.2682478,1.2097459,-0.58772385,2.4641294,1.030137,0.58572376,0.66739166,2.2763116,0.9594771,1.8329848,0.8123832,1.459718,-0.859793,2.0890274,-1.5804117,0.36511365,0.49589312,1.666255,0.14516844,-1.2299451
20,0.908761,-1.6882329,-0.61003554,-0.4024717,0.41447386,1.2855961,0.15984693,-1.7536176,1.6804178,-0.14244923,2.3406804,1.7876296,1.53783,0.5483227,-1.7251506,-0.08235297,1.1835196,0.40037265,-2.3506823,2.9635098,0.20207967,1.476869,2.2316735,-0.42899066,0.19385582,0.730275,-1.5106506,0.80489504,0.013241459,0.01700344,-1.0444049,-1.7866056
21,-0.2634418,-1.0078789,-0.386957,2.9748805,-0.9793249,-0.27387676,-1.0090059,1.8530049,-2.7747898,1.1800827,-0.27076364,0.68249273,-0.2235742,-2.0737426,-1.6189299,-0.7408103,1.9461759,-0.76659536,2.6485753,-0.88023365,-2.7115376,0.8004823,0.553589,2.2466326,-2.036864,1.0715202,0.9507893,-0.071440294,-0.35921684,0.026173659,-3.3153632,-1.3060229
