,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,0.09313792,-1.0400516,-1.2364354,2.3907647,-1.770496,1.8849127,0.89229643,0.7559194,-0.8856898,0.26609772,1.3078575,1.8917574,0.13384753,0.86460716,1.3464171,-0.3471967,0.33008978,-1.6936709,-1.7930113,-0.99416685,0.3462585,-0.7379902,-1.0781792,-0.10453009,-0.62427473,-1.7211598,0.40488392,-0.19401968,1.4056104,-1.700825,-1.8754641,0.302303
11,0.7614422,-1.9682401,0.7351302,1.9758738,1.9765457,3.8904245,-0.84308386,0.4078902,-0.30441332,2.170583,2.889259,0.9109998,-1.5686861,1.8770728,-3.7211628,0.77584326,-2.283887,-2.0203774,-1.2592971,0.8199113,-3.6942651,1.3154982,-5.238542,1.7483073,0.12239492,-2.555554,-2.9885058,-0.49712056,-1.3565054,-2.2802982,0.78738207,-3.5848987
12,-0.48092115,-1.1454831,-0.86492693,3.0370183,0.5018791,3.3569264,0.6958128,-0.27791098,-0.4489904,1.0896003,1.2748771,0.935245,1.2235148,1.4892281,0.12999807,0.67640376,-0.37588623,-1.9213411,-1.0847995,-1.5398815,-0.6995829,-0.81939137,-1.9679517,1.6078932,-0.4050445,-1.206052,-0.08510269,0.61469555,1.4754398,-1.4249768,-1.2667185,0.1825071
13,0.21208298,-1.7341205,0.384728,0.10799882,-1.7271205,0.97566926,1.6651334,-0.7064399,-0.7415595,-0.80911285,1.3125368,1.3218101,-1.9528519,1.0054036,-0.25712553,0.69473946,-0.12991498,-0.036984313,0.062388487,-0.29205695,0.6555783,0.9921599,0.85287344,-1.4059763,-1.6075729,-0.095077075,0.20357013,-1.2835463,0.2853725,-1.4983718,0.7193352,-0.054196905
14,1.6956002,0.59092855,0.32938117,2.2227788,-0.11342931,-0.48167196,-0.6254213,1.6597189,-1.5298381,0.7690922,0.06567584,0.8533027,-1.3402828,-1.8419775,2.8997703,-0.77578175,0.034503944,-0.7093832,-2.1592114,1.8853526,0.33590153,0.8126626,-1.4503466,-0.7445291,-1.5449306,0.35900897,0.46960428,-2.0726223,-1.4099894,-0.35006216,-0.26691058,-0.7352637
15,2.3493743,-1.5085373,1.9380393,-0.9515892,-0.26457098,0.4787689,-0.79643667,-1.6740862,-2.2072997,2.0789998,1.0889695,1.0781548,-1.74236,1.7426188,-2.7469125,0.7624763,-1.0627282,-0.58844316,0.08228583,-0.38483778,-1.5023233,1.2246823,-2.2787328,-1.3687772,-0.3315591,-0.3820597,-3.1848392,-1.0565606,-1.7250279,-1.0944133,2.5941753,-2.3032756
16,0.07228985,-1.8306317,0.26843143,1.9038813,0.9744774,3.0915425,1.00925,-2.1796706,-1.1235375,1.6504151,0.7767821,0.6319201,1.3600917,2.3351805,-1.2630547,1.3268619,-0.4791245,-1.8322369,0.40262112,-2.9608579,-0.39578035,-0.2337081,-1.3195009,0.98869663,-0.17216974,-0.4394384,-1.3891699,0.5079097,1.5998294,-1.0339599,0.5197007,0.117760316
17,0.082882136,-1.8282254,0.28194878,1.879774,0.97011054,3.070038,1.0118943,-2.1887093,-1.1230756,1.6460682,0.7692432,0.6224518,1.3473966,2.3283608,-1.2653445,1.3220286,-0.4790682,-1.8256574,0.41510984,-2.9597254,-0.38825884,-0.22106245,-1.3024887,0.97112024,-0.17872743,-0.4274193,-1.3949907,0.49665013,1.5908022,-1.0194571,0.53625625,0.11058413
18,1.9676588,-2.6679516,1.8850281,-0.49865976,1.0766475,2.688198,0.13353826,-1.8728533,-0.8955483,2.2591226,2.8448415,0.6835415,-2.391982,2.4887714,-4.8894577,1.3299732,-2.3095615,-1.4910706,0.5091585,-0.964953,-2.835742,2.4706125,-3.0371935,-0.020547165,-0.54304296,-1.7984377,-3.895083,-0.9039416,-1.3832821,-2.171493,2.6537974,-3.731328
19,0.61706334,-0.5335774,0.4239646,1.9503442,1.7542982,1.9065883,-0.05488647,1.3520153,0.45876983,1.0613295,1.7025852,-0.18639112,-1.3725436,-0.12393013,-1.2481055,0.13718536,-1.4451334,-1.8364576,-1.1061616,0.7644356,-2.1556306,1.2409079,-2.6128433,1.1103294,-0.29698777,-1.552615,-0.8732511,-1.0350419,-0.9331117,-1.3638022,-0.2432042,-2.3428867
